time-sec,depth-m,ODBA
14363,2.32368,0.347613758
14364,2.28912,0.314366087
14365,2.26312,0.431609769
14366,2.25288,0.391088851
14367,2.25168,0.359756937
14368,2.25608,0.35886653
14369,2.25472,0.202131351
14370,2.23904,0.418947695
14371,2.20616,0.491278268
14372,2.1608,0.293005424
14373,2.11112,0.353386521
14374,2.07,0.463202595
14375,2.04416,0.253746746
14376,2.03848,0.246026818
14377,2.0476,0.424822535
14378,2.05744,0.566202702
14379,2.06064,0.519004619
14380,2.05056,0.373712012
14381,2.02936,0.474816901
14382,2.00104,0.348657921
14383,1.97936,0.362661566
14384,1.97048,0.456934875
14385,1.97608,0.317264245
14386,1.98384,0.310439931
14387,1.98888,0.518548186
14388,1.98176,0.332018732
14389,1.96248,0.336765593
14390,1.93544,0.332402467
14391,1.91184,0.376708076
14392,1.89912,0.357606876
14393,1.90664,0.306356299
14394,1.93032,0.281072854
14395,1.966,0.266967781
14396,2.0032,0.290037179
14397,2.03328,0.242183833
14398,2.0488,0.499825526
14399,2.05528,0.446085771
14400,2.06064,0.242777506
14401,2.0728,0.232139288
14402,2.09672,0.25867403
14403,2.13144,0.387253396
14404,2.16744,0.299748062
14405,2.19008,0.218636696
14406,2.19608,0.240020384
14407,2.18728,0.411303527
14408,2.17176,0.452576299
14409,2.15968,0.316032319
14410,2.16032,0.263616266
14411,2.17152,0.308239931
14412,2.1916,0.253229409
14413,2.21168,0.401394331
14414,2.22088,0.222713122
14415,2.21736,0.293724551
14416,2.19792,0.28990609
14417,2.16704,0.213824259
14418,2.1344,0.255327798
14419,2.11648,0.449112062
14420,2.11816,0.442833395
14421,2.14528,0.310203072
14422,2.18624,0.343180997
14423,2.22592,0.45333332
14424,2.24832,0.345768941
14425,2.2516,0.439580103
14426,2.23472,0.504680349
14427,2.20688,0.511629034
14428,2.18456,0.403085027
14429,2.17392,0.290786136
14430,2.17256,0.322459337
14431,2.18192,0.341201727
14432,2.19792,0.417740988
14433,2.21512,0.387518893
14434,2.23208,0.471349143
14435,2.2416,0.266515646
14436,2.24112,0.295943351
14437,2.22992,0.460660749
14438,2.20832,0.569694879
14439,2.18144,0.555670557
14440,2.162,0.375319636
14441,2.15664,0.214505916
14442,2.16624,0.267734037
14443,2.19,0.196078634
14444,2.22104,0.175267294
14445,2.2496,0.251235983
14446,2.26552,0.288136949
14447,2.2692,0.468777093
14448,2.26584,0.242913095
14449,2.26016,0.21482848
14450,2.26464,0.321222292
14451,2.29016,0.302005715
14452,2.32968,0.296458708
14453,2.37072,0.242757873
14454,2.40688,0.23456876
14455,2.416,0.196773166
14456,2.39824,0.226970768
14457,2.364,0.318194493
14458,2.33192,0.378996892
14459,2.3128,0.325200753
14460,2.32192,0.301365037
14461,2.35128,0.282207675
14462,2.39224,0.256391535
14463,2.4256,0.469659382
14464,2.44216,0.205843065
14465,2.4436,0.375604545
14466,2.43432,0.462244046
14467,2.42456,0.270014855
14468,2.4252,0.362810234
14469,2.44176,0.52910842
14470,2.4708,0.334180429
14471,2.5116,0.23285343
14472,2.54856,0.344457641
14473,2.57344,0.343986526
14474,2.57888,0.402122026
14475,2.56864,0.298292632
14476,2.54496,0.301995014
14477,2.5244,0.57132832
14478,2.51336,0.268410325
14479,2.51424,0.497963536
14480,2.52448,0.309830189
14481,2.5396,0.309228487
14482,2.5516,0.422117829
14483,2.55992,0.283062804
14484,2.56624,0.429891536
14485,2.57232,0.254251896
14486,2.584,0.290089522
14487,2.60192,0.359062953
14488,2.62496,0.266279595
14489,2.656,0.259087715
14490,2.68712,0.380584828
14491,2.71288,0.414151279
14492,2.73576,0.304976916
14493,2.758,0.326316802
14494,2.77984,0.302213967
14495,2.80464,0.327309388
14496,2.82952,0.268006525
14497,2.85128,0.205216221
14498,2.8652,0.292374604
14499,2.86688,0.371261785
14500,2.85896,0.24444863
14501,2.85112,0.337444615
14502,2.84552,0.405009881
14503,2.84472,0.221121479
14504,2.85288,0.410779636
14505,2.8712,0.305827685
14506,2.89032,0.293057292
14507,2.90968,0.353621414
14508,2.92584,0.488819107
14509,2.93472,0.344464176
14510,2.93608,0.396752281
14511,2.93736,0.195978705
14512,2.94016,0.28117567
14513,2.95144,0.323111762
14514,2.97224,0.474031754
14515,2.99728,0.469377216
14516,3.02184,0.401917522
14517,3.04208,0.55161364
14518,3.05072,0.637143005
14519,3.04984,0.340442814
14520,3.03832,0.451021202
14521,3.01736,0.669851646
14522,2.99312,0.327993731
14523,2.96576,0.466418672
14524,2.93376,0.391563887
14525,2.8996,0.238920079
14526,2.85952,0.361890158
14527,2.8072,0.558354148
14528,2.74984,0.510633428
14529,2.69424,0.971504529
14530,2.65112,0.741145652
14531,2.62568,0.3820724
14532,2.616,0.664872998
14533,2.60688,0.448065652
14534,2.59488,0.344033224
14535,2.57032,0.495139305
14536,2.5344,0.42274588
14537,2.49888,0.417437284
14538,2.47896,0.489658427
14539,2.47728,0.41362984
14540,2.48656,0.275602485
14541,2.50512,0.316916843
14542,2.5236,0.391931199
14543,2.5384,0.43157373
14544,2.5456,0.333234542
14545,2.55992,0.323290869
14546,2.58152,0.297201524
14547,2.61192,0.318695188
14548,2.65088,0.373973236
14549,2.688,0.333190545
14550,2.71472,0.346278417
14551,2.73144,0.20287868
14552,2.73792,0.202940641
14553,2.73816,0.306079598
14554,2.7432,0.243924948
14555,2.75584,0.359458435
14556,2.77048,0.295408578
14557,2.7796,0.289044564
14558,2.7804,0.415779522
14559,2.76952,0.560544536
14560,2.75704,0.359970066
14561,2.74944,0.351306438
14562,2.75536,0.330428796
14563,2.76864,0.299124384
14564,2.7824,0.303135249
14565,2.7808,0.52340635
14566,2.75976,0.294012122
14567,2.71912,0.248231713
14568,2.6648,0.228721879
